"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"1063797724259147776","","","2018-11-17 14:15:16 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @nihonshugi: 【速報】「炎上弁護士」こと唐澤貴洋弁護士、NHKにて(実質)ドラマ化！
「炎上弁護人」12月15日(土曜)21時から放送

ソースは著書「炎上弁護士」のAmazonページ
『2018年、NHKドラマ「炎上弁護人」の取材協力を務める。』とある
本の…","1062971201876705280","1693887661","2018-11-15 07:30:58 +0000","https://twitter.com/nihonshugi/status/1062971201876705280/photo/1,https://twitter.com/nihonshugi/status/1062971201876705280/photo/1"
"1063796345880817664","1063743118539780096","1050266281742458880","2018-11-17 14:09:47 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@NekonoMiya0326 てめぇテスト週間に何やってんだ","","","",""
"1063796198266433536","","","2018-11-17 14:09:12 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @tojitomo: 【HAPPY BIRTHDAY】
本日は糸見沙耶香の誕生日！
最速の剣を誇る天才刀使。舞衣との出会いからだんだんと心を開いていく姿が可愛らしいですね。舞衣だけでなく、薫と沙耶香のコンビも絶妙です。
#とじとも #tojinomiko 
#今日は沙耶香…","1063579344008708097","899982751088074752","2018-11-16 23:47:30 +0000","https://twitter.com/tojitomo/status/1063579344008708097/photo/1"
"1063796187008917505","","","2018-11-17 14:09:10 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @maitetsu_ps: PS4本体とcuraサイン入り「まいてつ pure station 通常版」が「2名様」に当たる！ イエティ(@maitetsu_ps ) Lose(@news_lose) を両方フォローしてRT！ コミック版第１話もＶＲで試し読みできるように…","1063667665032474624","955634114115223552","2018-11-17 05:38:27 +0000","https://maitetsucs.com,https://twitter.com/maitetsu_ps/status/1063667665032474624/photo/1"
"1063795411943473152","","","2018-11-17 14:06:05 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","敵が無限に湧き続けて来るモードが欲しいと思えるほど戦闘の楽しいゲームだった https://t.co/wILLBXUoWs","","","","https://www.4gamer.net/games/346/G034617/20181109181/"
"1063717002655653888","","","2018-11-17 08:54:30 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @budoucha: 人間は大きく2つに分けると死ぬ","1063016153256095744","43889183","2018-11-15 10:29:35 +0000",""
"1063670016602566656","","","2018-11-17 05:47:48 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @news_lose: PS4本体とcuraサイン入り「まいてつ pure station 通常版」が「2名様」に当たる！ イエティ(@maitetsu_ps ) Lose(@news_lose) を両方フォローしてRT！ コミック版第１話もＶＲで試し読みできるようになり…","1063434571964796928","826149872701104128","2018-11-16 14:12:14 +0000","https://maitetsucs.com,https://twitter.com/news_lose/status/1063434571964796928/photo/1"
"1063296502670323713","","","2018-11-16 05:03:35 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @tojitomo: 【精鋭特務部隊研究棟】
本日12:00より第三回『精鋭特務部隊研究棟』イベントがスタート！今回は1日4回まで挑戦可能！報酬には、「相楽結月」と「真庭紗南」がサポートメンバーで新登場！毎日挑戦して、全階層制覇に挑戦してみてくださいね！
#とじとも ht…","1063283088636096513","899982751088074752","2018-11-16 04:10:17 +0000","https://twitter.com/tojitomo/status/1063283088636096513/photo/1"
"1063296362064699393","","","2018-11-16 05:03:02 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @maitetsu_ps: PS4本体とcuraサイン入り「まいてつ pure station 通常版」が「2名様」に当たる！ イエティ(@maitetsu_ps ) Lose(@news_lose) を両方フォローしてRT！ コミック版第１話もＶＲで試し読みできるように…","1063287634225594368","955634114115223552","2018-11-16 04:28:21 +0000","https://maitetsucs.com,https://twitter.com/maitetsu_ps/status/1063287634225594368/photo/1"
"1063271255627821056","","","2018-11-16 03:23:16 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @miri_kyek: じゃーじいあイアIA https://t.co/cHJYkUKPlH","1063091036761649153","120702969","2018-11-15 15:27:09 +0000","https://twitter.com/miri_kyek/status/1063091036761649153/photo/1,https://twitter.com/miri_kyek/status/1063091036761649153/photo/1"
